ride_id,driver_id,estimated_fare,actual_fare,estimated_distance,actual_distance,otp_verified,complaint,fraud_label
RIDE0,DRV73,966,999.41,3.48,3.82,True,0,0
RIDE1,DRV31,948,1057.1,15.12,15.42,False,0,0
RIDE2,DRV45,341,326.55,6.5,7.15,True,0,0
RIDE3,DRV10,679,1108.82,15.85,30.63,False,1,1
RIDE4,DRV34,819,840.93,19.22,20.08,False,0,0
RIDE5,DRV95,380,767.6,18.97,34.49,True,1,1
RIDE6,DRV10,666,758.44,12.54,12.79,False,1,0
RIDE7,DRV83,266,270.06,6.28,6.79,True,0,0
RIDE8,DRV38,413,445.69,17.26,17.69,True,0,0
RIDE9,DRV67,183,375.97,11.29,15.45,True,1,1
RIDE10,DRV56,836,847.34,9.11,8.78,True,0,0
RIDE11,DRV27,848,763.94,13.44,14.38,True,0,0
RIDE12,DRV63,464,449.42,9.78,9.53,True,0,0
RIDE13,DRV66,453,470.19,7.86,8.62,False,0,0
RIDE14,DRV23,976,1755.05,9.36,15.23,False,1,1
RIDE15,DRV28,647,714.93,6.87,7.09,True,0,0
RIDE16,DRV54,425,657.42,1.58,2.19,True,1,1
RIDE17,DRV30,797,1238.87,19.86,26.22,False,1,1
RIDE18,DRV51,461,963.98,12.76,17.75,True,1,1
RIDE19,DRV57,155,169.44,7.84,8.61,True,0,0
RIDE20,DRV60,1000,1106.47,8.11,8.1,True,0,0
RIDE21,DRV12,359,786.34,18.78,32.6,False,1,1
RIDE22,DRV83,542,544.65,10.88,11.75,True,0,0
RIDE23,DRV5,117,107.74,7.18,7.24,False,0,0
RIDE24,DRV47,327,375.44,1.25,1.28,True,0,0
RIDE25,DRV63,840,887.56,15.09,14.38,True,0,0
RIDE26,DRV49,754,796.26,14.56,14.77,True,0,0
RIDE27,DRV6,427,394.78,18.95,19.2,True,0,0
RIDE28,DRV87,985,1125.7,19.49,20.53,True,0,0
RIDE29,DRV21,573,544.31,14.86,15.29,False,0,0
RIDE30,DRV90,269,307.77,14.94,15.62,True,1,0
RIDE31,DRV78,755,682.77,4.44,4.8,False,0,0
RIDE32,DRV5,268,301.44,11.88,12.62,False,0,0
RIDE33,DRV30,404,408.26,8.74,9.09,False,0,0
RIDE34,DRV5,213,210.59,13.28,14.22,True,0,0
RIDE35,DRV4,140,144.16,2.79,2.99,True,0,0
RIDE36,DRV82,312,295.07,4.34,4.28,True,0,0
RIDE37,DRV94,606,1212.83,11.22,16.16,True,1,1
RIDE38,DRV90,945,901.67,5.47,5.5,True,0,0
RIDE39,DRV100,759,700.9,11.25,11.39,True,0,0
RIDE40,DRV89,550,581.96,9.42,9.74,True,0,0
RIDE41,DRV58,503,473.42,17.88,19.17,True,0,0
RIDE42,DRV74,457,451.84,4.66,4.49,True,0,0
RIDE43,DRV17,673,1458.24,9.75,16.81,False,1,1
RIDE44,DRV63,952,1960.54,11.7,15.41,False,1,1
